path,action,bucket,notes
.backstage/README.md,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/catalog-info.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/entities/apis/backstage-api.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/entities/groups/app-teams.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/entities/groups/kubernetes-auto-ingested.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/entities/groups/platform-team.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/entities/resources/plane-database.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/entities/users/erauner.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/systems/applications.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/systems/homelab-infrastructure.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/systems/platform.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/argocd-application/skeleton/apps/{{values.name}}/base/values.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/argocd-application/skeleton/apps/{{values.name}}/overlays/erauner-home/production/certificate.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/argocd-application/skeleton/apps/{{values.name}}/overlays/erauner-home/production/httproute.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
.backstage/templates/argocd-application/skeleton/apps/{{values.name}}/overlays/erauner-home/production/kustomization.yaml,EXCLUDE_PLATFORM_SPECIFIC,tooling,CI/CD or platform integration not needed for cousin starter repo
